table,column,type,allowed_or_unit,required,notes
events,event_id,string,identifier,true,Immutable event identifier
events,dataset_role,string,PILOT|CONFIRMATORY,true,Confirmatory builder rejects PILOT
events,site_id,string,identifier,true,Site stratum
events,plant_species,string,taxon,true,Plant identity
events,mammal_species,string,taxon,true,Mammal identity
events,timestamp,datetime,time,true,Camera timestamp
events,camera_id,string,identifier,true,Camera identifier
events,route_code,string,L|B|A|N,true,Blind route classification
events,visitor_id_confidence,string,HIGH|MEDIUM|LOW,true,Frozen identity confidence
events,route_visibility,string,FULL|PARTIAL|POOR,true,Visibility diagnostic
events,tissue_damage,string,YES|NO|UNCLEAR,true,Auxiliary diagnostic
events,pollen_presenter_contact,string,YES|NO|UNCLEAR,true,Not used to define L
events,nectar_behavior_confidence,string,HIGH|MEDIUM|LOW,true,Nectar-directed evidence
events,preexisting_bypass_opening,string,YES|NO|UNCLEAR,true,Secondary robbery still B
events,clip_quality,string,PASS|FAIL,true,Primary quality gate
events,coder_id,string,identifier,true,Primary route coder
events,double_coded,boolean,true|false,true,Reliability subset marker
events,second_route_code,string,L|B|A|N,false,Independent second route code
