independence_cluster,plant_taxon,D_mechanism,D_to_antagonism_state,D_to_pollination_state,current_numeric_capacity,selectivity_interpretation,priority_next_action
Galen_2011_Polemonium,Polemonium viscosum,chemical_2PE,protective_direction_verified,high_dose_negative__moderate_dose_null,directional_paired_with_explicit_dose_switch,nonselective_at_high_dose__guarded_at_moderate_dose,recover dose-specific antagonist and pollination means/uncertainty on compatible contrasts
Adler_Irwin_2005_Gelsemium,Gelsemium sempervirens,chemical_gelsemine,robber_use_negative_direction,visitation_LRR_-0.156654_SE_0.213071,one_route_quantitative,antagonist_benefit_with_pollinator_cost_candidate,recover numerical robber probing/time effect and dependence for same natural-range contrast
Jones_Agrawal_2016_Asclepias,Asclepias spp.,chemical_cardenolide,oviposition_negative__flower_foraging_null,pollinator_use_negative_after_extended_exposure,directional_paired_with_response_and_time_switch,consumer_response_and_exposure_selectivity,recover primary numerical contrasts for oviposition and pollinator colony use without mixing single-bout null state
Kessler_Baldwin_2007_Nicotiana,Nicotiana attenuata,chemical_nectar_repellents,nectar_thief_visitation_negative,pollinator_residence_consumption_negative__visit_number_positive,directional_paired_with_outcome_sign_switch,response_stage_selectivity__not_one_pollinator_cost,recover assay-level group statistics and preserve visit-number vs handling lanes separately
Irwin_Adler_Brody_2004_Ipomopsis,Ipomopsis aggregata,nectar_access_resistance,robbing_negative,hummingbird_pollinator_deterrence_null,directional_paired_guarded_state,guarded_defence_candidate,recover numerical robber and legitimate-pollinator effects from the same field panel
Gorden_Adler_2018_Impatiens_capensis,Impatiens capensis,floral_condensed_tannins,D_to_antagonism_standardized_slope_0.089825_SE_0.074424_unresolved,D_to_pollination_standardized_slope_-0.180692_SE_0.123988,paired_numeric_but_biological_D_role_linked_and_H_sign_unresolved,not_valid_as_guarded_or_cost_state_until_D_to_H_resolved,audit linked same-species D-role source and avoid subtracting slopes across different response constructs
Barlow_et_al_2017_Aconitum,Aconitum lycoctonum,nectar_alkaloids,20ppm_antagonist_consumption_strongly_reduced,pollinator_visitation_fisher_z_-0.794306_SE_0.301511,paired_numeric_in_incompatible_metrics,chemical_threshold_selectivity_candidate,reconstruct comparable standardized treatment effects if raw control/treatment structure permits; otherwise keep lane-specific
Sun_Huang_2015_Pedicularis_rex,Pedicularis rex,water_filled_bract,seed_predation_strongly_reduced__nectar_robber_null,pollinator_visitation_null,same_experiment_reported_GLM_coefficients,attack_mode_selective_guarded_defence,strong candidate for categorical selectivity coding; do not subtract coefficients until link/scale compatibility is verified
Stephenson_1982_Catalpa_speciosa,Catalpa speciosa,nectar_iridoid_glycosides,"ant_LRR_-1.2742_SE_0.2291__skipper_LRR_-0.9430_SE_0.2344",pollinator_consumption_LRR_-0.0102_SE_0.0187,matched_LRR_quantitative_across_consumer_assays,consumer_selective_guarded_defence,retain as quantitative U5 anchor; do not count ant and skipper as independent biological replications or infer W_AD
Wu_Gao_2024_Thunia_alba,Thunia alba,spur_enclosing_bract,robbery_strongly_reduced,arrival_rate_null__legitimate_pollination_and_fruit_set_increased,same_manipulation_proportions_and_tests,functional_mode_selective_guarded_defence,reconstruct compatible odds/risk effects for robbery and functional pollination outcomes while keeping arrival frequency separate
