direct_study_id,leal2025_frame_status,leal2025_study_id,reason
Lara_Ornelas_2001,IN_FRAME,Lara&Ornelas_2001,"Included in Leal 2025 robber-study frame."
Urcelay_Morales_Chalcoff_2006,NOT_IN_FRAME,,"Direct geometry/robbery study not represented in the Leal fitness-cost frame."
Navarro_Medel_2009,NOT_IN_FRAME,,"Direct geometry/robbery study not represented in the Leal fitness-cost frame."
Geerts_Pauw_2009,NOT_IN_FRAME,,"Direct community geometry/robbery study not represented in the Leal fitness-cost frame."
Lazaro_Vignolo_Santamaria_2015,NOT_IN_FRAME,,"Direct geometry/robbery study not represented in the Leal fitness-cost frame."
RojasNossa_Sanchez_Navarro_2016,IN_FRAME,Rojas-Nossaetal2016,"Included in Leal 2025 robber-study frame."
CutaPineda_AriasSosa_Pelayo_2021,NOT_IN_FRAME,,"Direct community geometry/robbery study not represented in the Leal fitness-cost frame."
Tie_et_al_2023,NOT_IN_FRAME,,"Direct geometry/robbery study outside the historical Leal frame."
Valdivia_Orellana_Gantz_2025,NOT_IN_FRAME,,"Post-Leal direct null study."
Navarro_Gomez_2026,NOT_IN_FRAME,,"Post-Leal direct positive study."
Castro_Silveira_Navarro_2009,IN_FRAME,Castroetal_2008,"Same Polygala vayredae program; online publication year 2008 and issue year 2009."
Stanley_Cosnett_2021,NOT_IN_FRAME,,"Direct flower-level geometry/robbery study not represented in the Leal fitness-cost frame."
Coetzee_et_al_2026,NOT_IN_FRAME,,"Post-Leal multispecies boundary-condition study."
